handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
waterglas-bubble-300-ml;Waterglas Bubble 300 ml;Bunzlau Castle;Glaswerk;ja;ja;;41;1;;;;;https://tanterie.nl/products/waterglas-bubble-300-ml
waterglas-summer-breeze-300-ml;Waterglas Summer Breeze 300 ml;Bunzlau Castle;Glaswerk;;;59;41;1;;;ja;;https://tanterie.nl/products/waterglas-summer-breeze-300-ml
witte-wijnglas-bubble-350-ml;Witte wijnglas Bubble 350 ml;Bunzlau Castle;Glaswerk;ja;ja;;41;1;;;;;https://tanterie.nl/products/witte-wijnglas-bubble-350-ml
witte-wijnglas-summer-breeze-350-ml;Witte wijnglas Summer Breeze 350 ml;Bunzlau Castle;Glaswerk;;;64;41;1;;;ja;;https://tanterie.nl/products/witte-wijnglas-summer-breeze-350-ml
maak-je-eigen-theemix-theepakket-holland-heritage;Maak je eigen theemix Theepakket Holland Heritage;Dutch Tea Maestro;Maak je eigen theemix;;;62;485;13;;;;;https://tanterie.nl/products/maak-je-eigen-theemix-theepakket-holland-heritage
lavendel;Lavendel;Geels;Losse thee;;;64;0;1;;;;;https://tanterie.nl/products/lavendel
mama-baby-thee;Mama & Baby Thee;Geels;Losse thee;;;64;122;1;;;;;https://tanterie.nl/products/mama-baby-thee
wit-thee-bewaarblik-100-gram;Wit thee bewaarblik (100 gram);Havelaar;;;;60;43;2;;;;;https://tanterie.nl/products/wit-thee-bewaarblik-100-gram
zilver-thee-bewaarblik-100-gram;Zilver thee bewaarblik (100 gram);Havelaar;;;;63;42;2;;;;;https://tanterie.nl/products/zilver-thee-bewaarblik-100-gram
zwart-thee-bewaarblik-100-gram;Zwart thee bewaarblik (100 gram);Havelaar;;;;58;43;2;;;;;https://tanterie.nl/products/zwart-thee-bewaarblik-100-gram
waterfles-bosvogels-geisoleerd-rvs;Waterfles Bosvogels;Heinen Delfts Blauw;;;;57;23;3;;;ja;;https://tanterie.nl/products/waterfles-bosvogels-geisoleerd-rvs
waterfles-bosvogels-roze;Waterfles Bosvogels Roze;Heinen Delfts Blauw;;;;51;20;3;;;;;https://tanterie.nl/products/waterfles-bosvogels-roze
waterfles-de-blauwe-fiets;Waterfles De Blauwe Fiets;Heinen Delfts Blauw;;;;37;19;2;;;;;https://tanterie.nl/products/waterfles-de-blauwe-fiets
waterfles-delfts-blauw;Waterfles Delfts Blauw;Heinen Delfts Blauw;;;;34;26;3;;;;;https://tanterie.nl/products/waterfles-delfts-blauw
waterfles-grachtenpanden;Waterfles Grachtenpanden;Heinen Delfts Blauw;;;;42;19;3;;;ja;;https://tanterie.nl/products/waterfles-grachtenpanden
joeff-kaarthouder;Kaarthouder TOON;Joeff;;;;36;84;1;1;;;;https://tanterie.nl/products/joeff-kaarthouder
joeff-kunstbloem-vaasje;Kunstbloem vaasje;Joeff;;;;53;107;1;1;;;;https://tanterie.nl/products/joeff-kunstbloem-vaasje
kaarthouderschakels;Kaarthouderschakels;Joeff;;;;44;53;1;1;;;;https://tanterie.nl/products/kaarthouderschakels
kunstbloemschakel;Kunstbloemschakel;Joeff;;;;43;40;1;;;;;https://tanterie.nl/products/kunstbloemschakel
ledkaars-schakel;Ledkaars schakel;Joeff;;;;41;55;1;1;;;;https://tanterie.nl/products/ledkaars-schakel
tegeltje-kunsthouderschakel;Tegeltje kunstschakel;Joeff;;;;48;50;1;1;;;;https://tanterie.nl/products/tegeltje-kunsthouderschakel
tentoonstellingshaakje;Tentoonstellingshaakje;Joeff;;;;48;60;1;1;;;;https://tanterie.nl/products/tentoonstellingshaakje
autoparfum-koning-van-de-snelweg;Autoparfum - koning van de snelweg;Natural Flower Cards;;ja;ja;;32;2;;;;;https://tanterie.nl/products/autoparfum-koning-van-de-snelweg
autoparfum-superbedankt;Autoparfum - superbedankt;Natural Flower Cards;;;;37;27;2;;;;;https://tanterie.nl/products/autoparfum-superbedankt
geurstokje-gefeliciteerd;Geurstokje - Gefeliciteerd;Natural Flower Cards;;ja;ja;;21;2;;;ja;;https://tanterie.nl/products/geurstokje-gefeliciteerd
geurstokje-hoera;Geurstokje - Dankjewel;Natural Flower Cards;;;;34;21;1;;;ja;;https://tanterie.nl/products/geurstokje-hoera
geurstokje-liefs;Geurstokje - Een warme groet;Natural Flower Cards;;;;40;23;1;;;ja;;https://tanterie.nl/products/geurstokje-liefs
geurstokje-superbedankt;Geurstokje - Voor jou;Natural Flower Cards;;ja;ja;;22;1;;;ja;;https://tanterie.nl/products/geurstokje-superbedankt
kaars-liefs-1;Kaars liefs;Natural Flower Cards;;;;23;17;1;;;;ja;https://tanterie.nl/products/kaars-liefs-1
thee-en-een-mooi-gesprek-hey-theetje-doen;Thee en een mooi gesprek - hey, theetje doen?;Natural Flower Cards;;;;57;30;1;;;ja;;https://tanterie.nl/products/thee-en-een-mooi-gesprek-hey-theetje-doen
thee-en-een-mooi-gesprek-hoera;Thee en een mooi gesprek - hoera;Natural Flower Cards;;ja;ja;;28;1;;;ja;;https://tanterie.nl/products/thee-en-een-mooi-gesprek-hoera
thee-en-een-mooi-gesprek-liefs;Thee en een mooi gesprek - liefs;Natural Flower Cards;;;;44;28;1;;;ja;;https://tanterie.nl/products/thee-en-een-mooi-gesprek-liefs
thee-en-een-mooi-gesprek-warme-groet;Thee en een mooi gesprek - warme groet;Natural Flower Cards;;ja;ja;;30;1;;;ja;;https://tanterie.nl/products/thee-en-een-mooi-gesprek-warme-groet
theelepel-bolvorm;Theelepel bolvorm;Natural Flower Cards;;ja;ja;;21;2;;;;;https://tanterie.nl/products/theelepel-bolvorm
theelepel-lang-goud-of-zilver;Theelepel lang - goud of zilver;Natural Flower Cards;;;;43;39;2;;;ja;;https://tanterie.nl/products/theelepel-lang-goud-of-zilver
tijd-voor-thee-bedankt;Tijd voor thee - Bedankt;Natural Flower Cards;;ja;ja;;17;2;;;ja;;https://tanterie.nl/products/tijd-voor-thee-bedankt
tijd-voor-thee-dankjewel;Tijd voor thee - Dankjewel;Natural Flower Cards;;ja;ja;;17;1;;;ja;;https://tanterie.nl/products/tijd-voor-thee-dankjewel
tijd-voor-thee-gefeliciteerd;Tijd voor thee - Gefeliciteerd;Natural Flower Cards;;ja;ja;;17;1;;;ja;;https://tanterie.nl/products/tijd-voor-thee-gefeliciteerd
tijd-voor-thee-hartje;Tijd voor thee - hartje;Natural Flower Cards;;;;35;19;2;;;;;https://tanterie.nl/products/tijd-voor-thee-hartje
tijd-voor-thee-jij-bent-goud-waard;Tijd voor thee - jij bent goud waard;Natural Flower Cards;;ja;ja;;20;2;;;;;https://tanterie.nl/products/tijd-voor-thee-jij-bent-goud-waard
tijd-voor-thee-koker-dankjewelthee;Tijd voor thee koker - Dankjewelthee;Natural Flower Cards;;;;48;20;1;;;;;https://tanterie.nl/products/tijd-voor-thee-koker-dankjewelthee
tijd-voor-thee-koker-gefelicithee;Tijd voor thee koker - Gefelicithee;Natural Flower Cards;;;;47;18;1;;;ja;;https://tanterie.nl/products/tijd-voor-thee-koker-gefelicithee
tijd-voor-thee-koker-liefs;Tijd voor thee koker - Liefs;Natural Flower Cards;;;;40;19;1;;;;;https://tanterie.nl/products/tijd-voor-thee-koker-liefs
